GBAC,country,host,collection_date,taxon,ORF1b-nt17,ORF2-aa25,color_orf1b16,code,1bcolor,2color
MT766324/CHN/human/2018/MAstV1,CHN,human,2018.0,MAstV1,13,0,#92db92,bcdd,#7BEA3B,#43B144
MT766325/CHN/human/2018/MAstV6,CHN,human,2018.0,MAstV6,20,18,#9b72d5,bcde,#BE38E9,#D82FEC
MT766327/CHN/human/2018/MAstV6,CHN,human,2018.0,MAstV6,20,18,#a27dd5,bce,#BE38E9,#D82FEC
MT766328/CHN/human/2018/MAstV6,CHN,human,2018.0,MAstV6,20,18,#8d58d7,bcea,#BE38E9,#D82FEC
MT766329/CHN/human/2018/MAstV6,CHN,human,2018.0,MAstV6,20,18,#864bd8,bceb,#BE38E9,#D82FEC
MT832892/BRA/human/2015/MAstV1,BRA,human,2015.0,MAstV1,13,0,#9fda9f,bcec,#7BEA3B,#43B144
MT832893/BRA/human/2015/MAstV1,BRA,human,2015.0,MAstV1,13,0,#9ada9a,bced,#7BEA3B,#43B144
MT832895/BRA/human/2015/MAstV1,BRA,human,2015.0,MAstV1,13,0,#9cda9c,bcee,#7BEA3B,#43B144
MT832896/BRA/human/2015/MAstV1,BRA,human,2015.0,MAstV1,13,0,#9dda9d,bd,#7BEA3B,#43B144
MT894143/IND/dog/NA/MAstV5,IND,dog,,MAstV5,16,3,#a4cfa4,bda,#7460DD,#8CF431
MT906853/BRA/human/2014/MAstV1,BRA,human,2014.0,MAstV1,13,0,#4fe64f,bdaa,#7BEA3B,#43B144
MT906854/BRA/human/2015/MAstV1,BRA,human,2015.0,MAstV1,13,0,#53e553,bdab,#7BEA3B,#43B144
MT906855/BRA/human/2014/MAstV1,BRA,human,2014.0,MAstV1,13,0,#51e651,bdac,#7BEA3B,#43B144
MT906856/BRA/human/2015/MAstV1,BRA,human,2015.0,MAstV1,13,0,#29f129,bdad,#7BEA3B,#43B144
MT906858/BRA/human/2014/MAstV1,BRA,human,2014.0,MAstV1,13,0,#27f227,bdae,#7BEA3B,#43B144
MW037839/AUS/cat/2018/NA,AUS,cat,2018.0,,30,8,#000000,bdb,#7C8783,#93EE7B
MW037840/AUS/cat/2017/NA,AUS,cat,2017.0,,29,8,#000000,bdba,#E1447F,#93EE7B
MW037841/AUS/cat/2018/MAstV2,AUS,cat,2018.0,MAstV2,14,1,#87b1dc,bdbb,#DABFB0,#51EAEE
MW149253/HUN/rat/2017/NA,HUN,rat,2017.0,,19,23,#aedc80,bdbc,#DD9A7E,#E8EC79
MW164633/CAN/cat/2020/MAstV2,CAN,cat,2020.0,MAstV2,14,1,#4e9ae6,bdbd,#DABFB0,#51EAEE
MW373712/CHN/cow/2019/NA,CHN,cow,2019.0,,2,73,#dcbbd4,bdbe,#E3EEDD,#8ABD7D
MW373713/CHN/cow/2019/NA,CHN,cow,2019.0,,2,62,#dcb9d4,bdc,#E3EEDD,#E9A2E8
MW373714/CHN/cow/2019/NA,CHN,cow,2019.0,,2,62,#e3a8d5,bdca,#E3EEDD,#E9A2E8
MW373715/CHN/cow/2019/NA,CHN,cow,2019.0,,2,73,#ee91d8,bdcb,#E3EEDD,#8ABD7D
MW373716/CHN/cow/2019/NA,CHN,cow,2019.0,,3,64,#a3dada,bdcc,#CA66DC,#3BF067
MW373717/CHN/cow/2019/NA,CHN,cow,2019.0,,3,64,#7cdddd,bdcd,#CA66DC,#3BF067
MW373718/CHN/cow/2019/NA,CHN,cow,2019.0,,6,72,#dadaa0,bdce,#AE8EDF,#5BB9CE
MW373719/CHN/cow/2019/NA,CHN,cow,2019.0,,6,68,#dada98,bdd,#AE8EDF,#B8CFB5
MW373720/CHN/cow/2019/NA,CHN,cow,2019.0,,3,64,#1cf5f5,bdda,#CA66DC,#3BF067
MW450837/CHN/bat/2020/NA,CHN,bat,2020.0,MAstV18,35,17,#000000,bddb,#57A478,#E563F0
MW485039/KEN/human/2019/MAstV1,KEN,human,2019.0,MAstV1,13,0,#45e945,bddc,#7BEA3B,#43B144
MW485040/KEN/human/2019/MAstV1,KEN,human,2019.0,MAstV1,13,0,#43e943,bddd,#7BEA3B,#43B144
MW485042/KEN/human/2019/MAstV1,KEN,human,2019.0,MAstV1,13,0,#02fe02,bdde,#7BEA3B,#43B144
MW485043/KEN/human/2019/MAstV1,KEN,human,2019.0,MAstV1,13,0,#7cdd7c,bde,#7BEA3B,#43B144
MW504545/USA/pig/2018/NA,USA,pig,2018.0,,38,21,#000000,bdea,#E082A8,#787A7E
MW504546/USA/pig/2018/MAstV3,USA,pig,2018.0,MAstV3,15,2,#dbccbd,bdeb,#A5BBE6,#E97BD0
MW504550/USA/pig/2018/NA,USA,pig,2018.0,,1,37,#09fc82,bdec,#9BC3B9,#C8F6BF
MW504551/USA/pig/2018/NA,USA,pig,2018.0,,1,44,#06fd81,bded,#9BC3B9,#B199B1
MW504552/USA/pig/2018/NA,USA,pig,2018.0,,1,43,#0cfb83,bdee,#9BC3B9,#904C66
MW504553/USA/pig/2018/NA,USA,pig,2018.0,,1,43,#13f885,be,#9BC3B9,#904C66
MW504554/USA/pig/2018/NA,USA,pig,2018.0,,1,43,#10f984,bea,#9BC3B9,#904C66
MW504556/USA/pig/2018/NA,USA,pig,2018.0,,1,41,#03fe80,beaa,#9BC3B9,#C9C2AA
MW504557/USA/pig/2018/NA,USA,pig,2018.0,,1,33,#00ff7f,beab,#9BC3B9,#EBB4E3
MW504558/USA/pig/2018/NA,USA,pig,2018.0,,0,29,#96dab8,beac,#E342C0,#A19D82
MW504559/USA/pig/2018/NA,USA,pig,2018.0,,0,46,#7eddad,bead,#E342C0,#E6A3B5
MW504560/USA/pig/2018/NA,USA,pig,2018.0,,0,29,#72dfa8,beae,#E342C0,#A19D82
MW504561/USA/pig/2018/NA,USA,pig,2018.0,,0,29,#92dbb6,beb,#E342C0,#A19D82
MW504562/USA/pig/2018/NA,USA,pig,2018.0,,0,39,#61e2a1,beba,#E342C0,#8471A2
MW504563/USA/pig/2018/NA,USA,pig,2018.0,,0,39,#56e49d,bebb,#E342C0,#8471A2
MW504565/USA/pig/2018/NA,USA,pig,2018.0,,0,27,#77deaa,bebc,#E342C0,#CBEF84
