GBAC,country,host,collection_date,taxon,ORF1b-nt17,ORF2-aa25,color_orf1b16,code,1bcolor,2color
ON624282/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#ec95d8,cdbe,#E3EEDD,#8ABD7D
ON624283/CHN/cow/2021/NA,CHN,cow,2021.0,,3,64,#4fe6e6,cdc,#CA66DC,#3BF067
ON624284/CHN/cow/2021/NA,CHN,cow,2021.0,,2,62,#e89fd6,cdca,#E3EEDD,#E9A2E8
ON714996/ESP/pig/2017/NA,ESP,pig,2017.0,,1,53,#46e897,cdcb,#9BC3B9,#B199B1
ON714997/ESP/pig/2017/NA,ESP,pig,2017.0,,1,53,#44e996,cdcc,#9BC3B9,#B199B1
ON714998/ESP/pig/2017/NA,ESP,pig,2017.0,,0,24,#90dbb5,cdcd,#E342C0,#68F4E5
ON714999/ESP/pig/2017/NA,ESP,pig,2017.0,,0,24,#8ddbb4,cdce,#E342C0,#68F4E5
ON715001/ESP/pig/2017/NA,ESP,pig,2017.0,,25,6,#a25d8c,cdd,#94ED85,#8FF1CE
ON733251/HUN/dog/2021/MAstV5,HUN,dog,2021.0,MAstV5,16,3,#9acb9a,cdda,#7460DD,#8CF431
ON792967/ESP/pig/2017/NA,ESP,pig,2017.0,,7,78,#1773b8,cddb,#5ECBE7,#B16F26
ON792968/ESP/pig/2017/NA,ESP,pig,2017.0,,7,78,#146eb1,cddc,#5ECBE7,#B16F26
ON792969/ESP/pig/2018/NA,ESP,pig,2018.0,,7,78,#126bae,cddd,#5ECBE7,#B16F26
ON792970/ESP/pig/2017/NA,ESP,pig,2017.0,,7,78,#1068aa,cdde,#5ECBE7,#B16F26
ON792971/ESP/pig/2017/NA,ESP,pig,2017.0,,7,78,#0f66a7,cde,#5ECBE7,#B16F26
ON792972/ESP/pig/2018/NA,ESP,pig,2018.0,,7,78,#1570b4,cdea,#5ECBE7,#B16F26
ON885949/CHN/water-buffalo/2021/NA,CHN,water-buffalo,2021.0,,5,67,#000000,cdeb,#E3EBAE,#C15EC3
ON885950/CHN/water-buffalo/2021/NA,CHN,water-buffalo,2021.0,,5,67,#000000,cdec,#E3EBAE,#C15EC3
ON885951/CHN/water-buffalo/2021/NA,CHN,water-buffalo,2021.0,,5,67,#000000,cded,#E3EBAE,#C15EC3
OP076744/SAU/camel/2014/NA,SAU,camel,2014.0,,0,57,#b0dac5,cdee,#E342C0,#DD36CC
OP076747/SAU/camel/2014/NA,SAU,camel,2014.0,,1,59,#33ee90,ce,#9BC3B9,#EA4046
OP076748/SAU/camel/2014/NA,SAU,camel,2014.0,,0,58,#bbdbcb,cea,#E342C0,#F57429
OP076749/SAU/camel/2014/NA,SAU,camel,2014.0,,0,57,#b4dac7,ceaa,#E342C0,#DD36CC
OP076750/SAU/camel/2014/NA,SAU,camel,2014.0,,0,57,#b2dac6,ceab,#E342C0,#DD36CC
OP076765/CHN/camel/2015/NA,CHN,camel,2015.0,,1,36,#30ef8f,ceac,#9BC3B9,#68F4E5
OP076766/CHN/camel/2015/NA,CHN,camel,2015.0,,0,57,#aedac4,cead,#E342C0,#DD36CC
OP093957/BRA/dog/2019/MAstV5,BRA,dog,2019.0,MAstV5,16,3,#8fc68f,ceae,#7460DD,#8CF431
OP093958/BRA/dog/2019/MAstV5,BRA,dog,2019.0,MAstV5,16,3,#9ecd9e,ceb,#7460DD,#8CF431
OP331312/NA/cow/NA/NA,,cow,,,6,68,#dadaaf,ceba,#AE8EDF,#B8CFB5
OP432293/CHN/human/2021/MAstV1,CHN,human,2021.0,MAstV1,13,0,#66e166,cebb,#7BEA3B,#43B144
OP432294/CHN/human/2022/MAstV1,CHN,human,2022.0,MAstV1,13,0,#6ae06a,cebc,#7BEA3B,#43B144
OP432295/CHN/human/2022/MAstV1,CHN,human,2022.0,MAstV1,13,0,#60e260,cebd,#7BEA3B,#43B144
OP432296/CHN/human/2021/MAstV1,CHN,human,2021.0,MAstV1,13,0,#b2dab2,cebe,#7BEA3B,#43B144
OP432297/CHN/human/2022/MAstV1,CHN,human,2022.0,MAstV1,13,0,#6fdf6f,cec,#7BEA3B,#43B144
OP432298/CHN/human/2022/MAstV1,CHN,human,2022.0,MAstV1,13,0,#6ce06c,ceca,#7BEA3B,#43B144
OP432299/CHN/human/2021/MAstV1,CHN,human,2021.0,MAstV1,13,0,#64e164,cecb,#7BEA3B,#43B144
OP432300/CHN/human/2022/MAstV1,CHN,human,2022.0,MAstV1,13,0,#6edf6e,cecc,#7BEA3B,#43B144
OP432301/CHN/human/2022/MAstV1,CHN,human,2022.0,MAstV1,13,0,#68e068,cecd,#7BEA3B,#43B144
OQ198033/CHN/dog/2020/NA,CHN,dog,2020.0,,18,3,#7fbf7f,cece,#DFCD4B,#8CF431
OQ198035/CHN/dog/2020/NA,CHN,dog,2020.0,,17,5,#8dc58d,ced,#7C577E,#E7F1E1
OQ198038/CHN/dog/2020/NA,CHN,dog,2020.0,,17,3,#89c389,ceda,#7C577E,#8CF431
OQ198039/CHN/dog/2020/NA,CHN,dog,2020.0,,17,4,#87c287,cedb,#7C577E,#A29FEB
OQ198040/CHN/dog/2020/NA,CHN,dog,2020.0,,17,3,#83c183,cedc,#7C577E,#8CF431
OQ198041/CHN/dog/2020/NA,CHN,dog,2020.0,,17,3,#85c285,cedd,#7C577E,#8CF431
OQ198042/CHN/dog/2020/NA,CHN,dog,2020.0,,3,65,#9adada,cede,#CA66DC,#E9698C
OQ198043/CHN/dog/2020/NA,CHN,dog,2020.0,,6,72,#dbdb8f,cee,#AE8EDF,#5BB9CE
OQ198045/CHN/dog/2020/NA,CHN,dog,2020.0,,17,5,#8bc48b,ceea,#7C577E,#E7F1E1
OQ198046/CHN/dog/2020/NA,CHN,dog,2020.0,,6,72,#dcdc87,ceeb,#AE8EDF,#5BB9CE
OQ198050/CHN/dog/2020/NA,CHN,dog,2020.0,,3,64,#90dbdb,ceec,#CA66DC,#3BF067
OQ198051/CHN/dog/2020/NA,CHN,dog,2020.0,,2,62,#e7a1d6,ceed,#E3EEDD,#E9A2E8
OQ968302/CHN/human/2020/MAstV1,CHN,human,2020.0,MAstV1,13,0,#a0daa0,ceee,#7BEA3B,#43B144
OQ968303/CHN/human/2020/MAstV1,CHN,human,2020.0,MAstV1,13,0,#b3dab3,d,#7BEA3B,#43B144
OQ968304/CHN/human/2020/MAstV1,CHN,human,2020.0,MAstV1,13,0,#afdaaf,da,#7BEA3B,#43B144
OQ968305/CHN/human/2021/MAstV1,CHN,human,2021.0,MAstV1,13,0,#aedaae,daa,#7BEA3B,#43B144
OQ968306/CHN/human/2021/MAstV1,CHN,human,2021.0,MAstV1,13,0,#acdaac,daaa,#7BEA3B,#43B144
OQ968307/CHN/human/2021/MAstV1,CHN,human,2021.0,MAstV1,13,0,#a9daa9,daab,#7BEA3B,#43B144
OQ968308/CHN/human/2020/MAstV6,CHN,human,2020.0,MAstV6,20,18,#bda9d7,daac,#BE38E9,#D82FEC
OQ968310/CHN/human/2020/MAstV6,CHN,human,2020.0,MAstV6,20,18,#b69fd6,daad,#BE38E9,#D82FEC
OQ968311/CHN/human/2020/MAstV6,CHN,human,2020.0,MAstV6,20,18,#a989d5,daae,#BE38E9,#D82FEC
OQ968312/CHN/human/2021/MAstV8,CHN,human,2021.0,MAstV8,27,13,#da6089,dab,#D1E782,#6CDC42
Z25771/NA/human/NA/MAstV1,,human,,MAstV1,13,0,#90db90,daba,#7BEA3B,#43B144
